file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
908-157963-0007.flac,mackey_glass,10,1.7933,0.9309,1.6626,0.291,10,4,0.2475
908-157963-0007.flac,duffing,-10,1.0929,0.9131,1.7518,0.1259,20,4,0.3041
908-157963-0007.flac,duffing,-5,1.1989,0.935,1.8515,0.118,20,4,0.2745
908-157963-0007.flac,duffing,0,1.4031,0.8893,1.6655,0.1918,10,4,0.321
908-157963-0007.flac,duffing,5,1.8752,0.8686,1.3583,0.2935,5,4,0.3539
908-157963-0007.flac,duffing,10,2.5264,0.9432,1.4738,0.4146,4,4,0.2599
2094-142345-0008.flac,logistic,-10,1.0352,0.9771,4.1745,0.0008,5,8,0.1794
2094-142345-0008.flac,logistic,-5,1.0331,0.9761,3.354,0.0007,5,8,0.1802
2094-142345-0008.flac,logistic,0,1.0345,0.9469,3.2654,0.0011,14,8,0.1839
2094-142345-0008.flac,logistic,5,1.0402,0.9641,2.6387,0.0325,16,4,0.1908
2094-142345-0008.flac,logistic,10,1.069,0.9418,2.3123,0.0566,19,4,0.2124
2094-142345-0008.flac,skew_tent,-10,1.0373,0.977,3.7463,0.0007,7,8,0.1932
2094-142345-0008.flac,skew_tent,-5,1.0366,0.9755,3.9981,0.0007,5,8,0.1803
2094-142345-0008.flac,skew_tent,0,1.0385,0.9608,3.2858,0.0012,5,8,0.1852
2094-142345-0008.flac,skew_tent,5,1.0448,0.9631,2.6657,0.0316,16,4,0.1956
2094-142345-0008.flac,skew_tent,10,1.0748,0.9363,2.3311,0.0508,19,4,0.2167
2094-142345-0008.flac,henon,-10,1.0632,0.9749,3.2938,0.0009,7,8,0.194
2094-142345-0008.flac,henon,-5,1.0405,0.9622,3.1817,0.0008,5,8,0.1898
2094-142345-0008.flac,henon,0,1.0412,0.942,3.2493,0.0018,3,8,0.1892
2094-142345-0008.flac,henon,5,1.0474,0.9899,2.3753,0.0553,3,4,0.1935
2094-142345-0008.flac,henon,10,1.0779,0.9341,2.3041,0.0551,18,4,0.2186
2094-142345-0008.flac,bernoulli,-10,4.5267,0.8958,0.0547,0.6099,17,4,0.6032
2094-142345-0008.flac,bernoulli,-5,4.5474,0.8958,1.2569,0.2941,17,4,0.398
2094-142345-0008.flac,bernoulli,0,4.5737,0.8958,1.451,0.1148,17,4,0.3444
2094-142345-0008.flac,bernoulli,5,4.5926,0.8958,1.531,0.0793,17,4,0.3323
2094-142345-0008.flac,bernoulli,10,4.6055,0.8958,1.5572,0.0669,17,4,0.3282
2094-142345-0008.flac,ikeda,-10,1.0398,0.977,3.8165,0.0007,4,8,0.1545
2094-142345-0008.flac,ikeda,-5,1.0373,0.9762,3.9925,0.0008,4,8,0.1483
2094-142345-0008.flac,ikeda,0,1.038,0.9631,3.292,0.0013,4,8,0.1605
2094-142345-0008.flac,ikeda,5,1.0439,0.932,3.0549,0.0163,17,5,0.1801
2094-142345-0008.flac,ikeda,10,1.0735,0.9322,2.3086,0.0574,21,4,0.2092
2094-142345-0008.flac,lorenz,-10,1.0317,0.9173,1.7715,0.1285,18,4,0.3126
2094-142345-0008.flac,lorenz,-5,1.0529,0.9454,2.0492,0.0769,22,4,0.2836
2094-142345-0008.flac,lorenz,0,1.1227,0.9145,2.2524,0.0439,21,4,0.2787
2094-142345-0008.flac,lorenz,5,1.3149,0.9062,2.2248,0.0401,17,4,0.2786
2094-142345-0008.flac,lorenz,10,1.7043,0.8852,2.0609,0.059,20,4,0.3047
2094-142345-0008.flac,rossler,-10,1.0352,0.9409,1.4499,0.127,28,3,0.3221
2094-142345-0008.flac,rossler,-5,1.0541,0.9008,1.8248,0.0785,17,4,0.3046
2094-142345-0008.flac,rossler,0,1.1107,0.9388,2.0509,0.0474,27,4,0.2793
2094-142345-0008.flac,rossler,5,1.2429,0.9099,2.0063,0.0513,16,4,0.2865
2094-142345-0008.flac,rossler,10,1.5177,0.904,1.949,0.062,23,4,0.2902
2094-142345-0008.flac,chen,-10,1.0661,0.9242,2.3408,0.0446,12,4,0.2646
2094-142345-0008.flac,chen,-5,1.0701,0.9418,2.4546,0.0357,12,4,0.2548
2094-142345-0008.flac,chen,0,1.09,0.9789,2.5484,0.0271,17,4,0.2428
2094-142345-0008.flac,chen,5,1.1823,0.9608,2.473,0.0293,18,4,0.2525
2094-142345-0008.flac,chen,10,1.4067,0.9386,2.2454,0.0454,17,4,0.2672
2094-142345-0008.flac,mackey_glass,-10,1.0646,0.8807,2.1627,0.0781,13,4,0.2993
2094-142345-0008.flac,mackey_glass,-5,1.0803,0.9245,2.3459,0.0507,13,4,0.2593
2094-142345-0008.flac,mackey_glass,0,1.1242,0.9494,2.419,0.0331,13,4,0.2484
2094-142345-0008.flac,mackey_glass,5,1.2452,0.9657,2.3739,0.0352,15,4,0.2503
2094-142345-0008.flac,mackey_glass,10,1.4757,0.9254,2.1233,0.0467,13,4,0.2736
2094-142345-0008.flac,duffing,-10,1.0302,0.94,2.0347,0.0694,27,4,0.302
2094-142345-0008.flac,duffing,-5,1.0543,0.8984,2.1431,0.0623,19,4,0.3108
2094-142345-0008.flac,duffing,0,1.1353,0.9211,2.3137,0.0383,23,4,0.2766
2094-142345-0008.flac,duffing,5,1.3782,0.9157,2.2701,0.0376,23,4,0.2774
2094-142345-0008.flac,duffing,10,1.8104,0.9015,1.9704,0.0485,17,4,0.29
4507-16021-0026.flac,logistic,-10,1.0335,0.9786,3.3067,0.0012,5,8,0.2053
4507-16021-0026.flac,logistic,-5,1.0291,0.9786,3.3893,0.0019,7,8,0.196
4507-16021-0026.flac,logistic,0,1.0348,0.9779,3.503,0.0051,6,8,0.1888
4507-16021-0026.flac,logistic,5,1.0536,0.9745,3.4751,0.0304,6,8,0.1864
4507-16021-0026.flac,logistic,10,1.1237,0.9636,3.5518,0.1765,8,8,0.187
4507-16021-0026.flac,skew_tent,-10,1.0286,0.9789,3.8506,0.001,8,8,0.2095
4507-16021-0026.flac,skew_tent,-5,1.0303,0.98,3.3993,0.0016,8,8,0.2053
4507-16021-0026.flac,skew_tent,0,1.0382,0.9794,3.509,0.0044,8,8,0.1977
4507-16021-0026.flac,skew_tent,5,1.0592,0.9733,3.4857,0.0294,5,8,0.1943
4507-16021-0026.flac,skew_tent,10,1.1382,0.963,3.4272,0.1591,9,8,0.1967
4507-16021-0026.flac,henon,-10,1.0359,0.978,3.3406,0.0017,10,8,0.216
4507-16021-0026.flac,henon,-5,1.0357,0.9791,3.4062,0.0026,13,8,0.2032
4507-16021-0026.flac,henon,0,1.0422,0.9799,3.4996,0.0065,10,8,0.1933
4507-16021-0026.flac,henon,5,1.0618,0.9665,3.4222,0.0292,5,8,0.1929
4507-16021-0026.flac,henon,10,1.1438,0.9415,2.7904,0.1762,3,8,0.2107
4507-16021-0026.flac,bernoulli,-10,4.5282,0.9478,0.0004,0.9799,9,4,0.4829
4507-16021-0026.flac,bernoulli,-5,4.5441,0.9478,0.0252,0.9052,9,4,0.4759
4507-16021-0026.flac,bernoulli,0,4.5691,0.9478,0.1541,0.7199,9,4,0.4462
4507-16021-0026.flac,bernoulli,5,4.5869,0.9478,1.0991,0.6358,9,4,0.3476
4507-16021-0026.flac,bernoulli,10,4.5982,0.9478,1.0322,0.5628,9,4,0.3506
4507-16021-0026.flac,ikeda,-10,1.0357,0.9797,3.8706,0.001,9,8,0.1675
4507-16021-0026.flac,ikeda,-5,1.0345,0.979,3.5775,0.0017,10,8,0.1632
4507-16021-0026.flac,ikeda,0,1.0413,0.9801,3.5197,0.0047,7,8,0.1593
4507-16021-0026.flac,ikeda,5,1.0628,0.9697,3.4598,0.0344,4,8,0.1611
4507-16021-0026.flac,ikeda,10,1.1534,0.9619,3.0017,0.1608,8,8,0.1751
4507-16021-0026.flac,lorenz,-10,1.042,0.9437,1.1669,0.2461,16,3,0.3452
4507-16021-0026.flac,lorenz,-5,1.0701,0.957,1.1421,0.2675,14,3,0.3354
4507-16021-0026.flac,lorenz,0,1.1603,0.951,1.5751,0.1945,13,4,0.3069
4507-16021-0026.flac,lorenz,5,1.3919,0.9722,1.55,0.2273,13,4,0.2924
4507-16021-0026.flac,lorenz,10,1.7819,0.9722,0.8902,0.3343,12,4,0.3239
4507-16021-0026.flac,rossler,-10,1.028,0.8932,1.2902,0.1692,27,3,0.3957
4507-16021-0026.flac,rossler,-5,1.0388,0.9184,1.4211,0.1851,31,3,0.334
4507-16021-0026.flac,rossler,0,1.0718,0.8872,1.7733,0.1631,26,4,0.3524
4507-16021-0026.flac,rossler,5,1.1917,0.9445,1.8845,0.2411,15,4,0.2859
4507-16021-0026.flac,rossler,10,1.4723,0.9602,0.6742,0.3485,13,4,0.3408
4507-16021-0026.flac,chen,-10,1.0742,0.8878,2.0329,0.0735,11,4,0.3015
4507-16021-0026.flac,chen,-5,1.0703,0.8986,2.09,0.0757,11,4,0.296
4507-16021-0026.flac,chen,0,1.1255,0.9329,2.0669,0.1021,11,4,0.2682
4507-16021-0026.flac,chen,5,1.2839,0.9423,2.3115,0.1812,10,4,0.2596
4507-16021-0026.flac,chen,10,1.5617,0.985,2.3728,0.3437,12,4,0.2481
4507-16021-0026.flac,mackey_glass,-10,1.0681,0.9451,1.5082,0.1391,11,3,0.2902
4507-16021-0026.flac,mackey_glass,-5,1.0937,0.9692,1.5748,0.1435,12,3,0.2768
